,date,maxtp(Maximum Air Temperature - degrees C),mintp(Minimum Air Temperature - degrees C),gmin(Grass Minimum Temperature - degrees C),rain(Precipitation Amount - mm),cbl (Mean CBL Pressure-hpa),wdsp(Mean Wind Speed - knot),pe(Potential Evapotranspiration - mm),evap(Evaporation -mm)
4954,1955-07-26,22.4,10.4,6.9,0.0,1010.8,3.8,4.0,5.3
4955,1955-07-27,22.1,10.6,6.2,0.0,1009.7,4.2,3.9,5.2
4956,1955-07-28,21.1,10.8,9.6,0.0,1011.8,7.0,3.7,5.2
4957,1955-07-29,18.2,12.5,10.7,0.0,1013.6,5.5,2.3,3
4958,1955-07-30,22.6,9.3,7.3,0.0,1013.4,4.0,3.2,4.3
4959,1955-07-31,23.3,16.4,16.3,0.0,1013.6,3.5,2.3,3
4960,1955-08-01,21.6,15.3,14,0.0,1013.2,2.9,1.9,2.4
4961,1955-08-02,23.3,14.6,10.8,3.9,1012.4,4.5,2.3,3
4962,1955-08-03,19.8,11.2,8.1,0.0,1013.8,4.3,3.6,4.9
4963,1955-08-04,20.1,8.9,6.8,0.0,1014.5,4.8,3.4,4.7
4964,1955-08-05,22.2,13.9,10.2,0.0,1012.3,3.6,2.9,3.8
4965,1955-08-06,18.4,10.1,8.9,0.0,1013.1,9.0,2.2,3
4966,1955-08-07,18.4,9.6,7.4,0.0,1012.6,5.7,2.3,3.2
4967,1955-08-08,19.3,10.5,4.9,1.0,1010.9,4.9,2.2,2.9
4968,1955-08-09,19.1,13.1,15.3,1.4,1012.2,10.8,1.9,2.8
4969,1955-08-10,17.2,12.3,11.1,0.0,1016.7,7.1,2.9,4.3
4970,1955-08-11,18.5,12.2,9.9,0.0,1014.7,7.4,2.5,3.5
4971,1955-08-12,20.2,13.2,10.5,0.0,1010.5,7.8,2.6,3.6
4972,1955-08-13,21.9,11.7,10.2,0.0,1008.7,4.4,3.4,4.6
4973,1955-08-14,19.9,11.6,8.7,0.0,1007.6,8.0,2.0,2.7
4974,1955-08-15,24.3,12.1,7.1,0.0,1006.4,9.9,3.4,4.5
4975,1955-08-16,23.2,16.4,13.7,0.0,1002.9,13.2,3.5,4.8
4976,1955-08-17,21.6,15.1,14.4,7.3,1000.2,8.2,3.2,4.3
4977,1955-08-18,24.7,13.2,11.2,1.5,1001.9,11.4,2.7,3.7
4978,1955-08-19,22.0,11.9,14.1,1.3,1007.4,8.4,3.0,4.2
4979,1955-08-20,17.8,10.1,7.4,2.3,1014.8,2.2,1.4,1.8
4980,1955-08-21,16.7,13.3,12.8,54.4,1014.8,7.0,1.1,1.6
4981,1955-08-22,22.0,15.2,14.7,0.0,1012.0,8.9,2.3,3.3
4982,1955-08-23,24.6,12.8,9.6,0.0,1012.7,5.5,2.4,3.2
4983,1955-08-24,24.4,15.1,12.1,0.0,1013.0,4.7,3.2,4.3
4984,1955-08-25,24.1,14.6,10.3,0.0,1009.5,3.7,3.0,3.9
4985,1955-08-26,20.4,15.4,13.4,0.0,1007.0,2.6,1.4,1.8
4986,1955-08-27,20.1,12.3,12.2,0.0,1010.2,4.5,1.8,2.4
4987,1955-08-28,18.9,11.6,10.7,0.0,1012.0,4.4,1.7,2.3
4988,1955-08-29,22.0,10.9,7.7,0.0,1009.2,3.0,2.1,2.8
4989,1955-08-30,20.9,13.8,13,12.2,1005.8,5.9,1.8,2.4
4990,1955-08-31,18.4,11.5,10.6,0.0,1005.2,7.1,1.8,2.5
4991,1955-09-01,21.7,10.4,9.3,0.0,1002.2,11.2,1.7,2.4
4992,1955-09-02,18.8,12.8,13.4,13.6,997.3,16.5,2.3,3.5
4993,1955-09-03,19.1,8.4,8.3,0.0,1003.2,7.2,2.0,2.8
4994,1955-09-04,20.0,12.6,10.6,3.3,1000.8,10.0,2.1,2.9
4995,1955-09-05,18.7,9.0,11.8,0.1,1001.1,11.5,2.0,3
4996,1955-09-06,22.6,9.2,6.8,0.0,1007.3,7.8,2.9,3.9
4997,1955-09-07,19.4,11.6,7.7,0.0,1007.0,6.7,2.2,3.1
4998,1955-09-08,20.8,12.3,8.9,0.6,1000.7,9.6,2.0,2.7
4999,1955-09-09,15.7,8.4,10.2,0.0,1003.3,14.2,1.9,2.8
5000,1955-09-10,17.3,8.2,6.6,0.5,1004.3,9.2,1.5,2.1
5001,1955-09-11,17.3,11.5,10.7,0.4,1003.3,11.2,2.1,3.1
5002,1955-09-12,15.9,8.9,6.5,1.8,1006.0,13.0,2.2,3.4
5003,1955-09-13,15.6,7.3,9.8,5.4,1000.3,13.3,2.0,2.9
5004,1955-09-14,14.8,6.2,4.6,0.5,998.5,12.0,2.0,3.1
5005,1955-09-15,16.0,6.9,5.5,0.0,1000.5,10.7,2.1,3
5006,1955-09-16,15.1,8.0,5.6,4.1,1004.6,9.3,1.6,2.3
5007,1955-09-17,15.0,7.3,5.2,0.3,1009.8,13.0,1.6,2.5
5008,1955-09-18,17.8,9.6,7.9,0.0,1012.0,8.7,2.0,2.7
5009,1955-09-19,19.2,11.8,9.3,0.0,1010.2,9.3,2.1,2.7
5010,1955-09-20,19.1,10.6,7.3,0.0,1005.0,12.4,2.0,3
5011,1955-09-21,19.6,12.7,11.7,5.8,1000.8,8.3,1.9,2.6
5012,1955-09-22,19.3,11.7,9.9,10.9,994.8,12.7,2.1,3
5013,1955-09-23,18.8,9.7,7.2,0.0,1000.5,6.9,2.1,2.8
5014,1955-09-24,19.0,10.8,5.6,0.0,1004.4,10.4,1.4,1.8
5015,1955-09-25,16.7,10.2,8.4,0.0,1009.5,11.9,2.0,2.8
5016,1955-09-26,14.1,7.6,5.8,0.0,1016.0,10.8,1.6,2.3
5017,1955-09-27,13.0,7.4,6.1,0.0,1020.4,9.0,1.0,1.4
5018,1955-09-28,16.7,8.9,6.9,0.0,1018.5,8.1,1.2,1.6
5019,1955-09-29,20.2,14.8,12.9,0.0,1015.2,10.6,1.7,2.2
5020,1955-09-30,15.4,8.2,9.1,0.3,1017.0,10.5,1.1,1.7
5021,1955-10-01,13.4,6.1,4.3,0.0,1016.7,7.6,1.0,1.3
5022,1955-10-02,13.7,6.7,7.9,0.3,1007.8,9.3,1.0,1.5
5023,1955-10-03,13.9,4.6,2.8,2.2,1003.8,10.1,1.4,2
5024,1955-10-04,12.2,4.8,3.3,1.2,1002.5,9.0,0.9,1.3
5025,1955-10-05,14.1,5.2,3.9,7.3,994.1,17.8,1.1,1.7
5026,1955-10-06,12.8,5.1,5.8,0.6,998.9,17.2,1.6,2.4
5027,1955-10-07,15.5,5.2,4,1.6,1006.2,9.5,0.7,1
5028,1955-10-08,18.8,15.0,11.1,0.1,1007.1,13.2,1.5,2
5029,1955-10-09,19.4,13.5,12.2,0.0,1011.8,8.8,1.7,2
5030,1955-10-10,17.4,9.4,10.4,0.0,1009.2,8.7,1.2,1.7
5031,1955-10-11,18.6,8.6,3.3,0.0,1006.9,4.3,1.1,1.6
5032,1955-10-12,15.5,10.5,10.6,0.0,1009.6,5.1,0.8,1.2
5033,1955-10-13,17.5,10.7,7.1,0.0,1012.2,11.3,1.1,1.5
5034,1955-10-14,16.7,14.1,13.7,0.1,1012.2,14.4,1.1,1.5
5035,1955-10-15,14.1,1.7,9,1.7,1014.5,10.2,0.6,1
5036,1955-10-16,10.4,-0.9,-2.6,0.0,1010.3,11.8,0.9,1.4
5037,1955-10-17,8.3,0.6,0.3,0.0,1001.1,10.4,1.2,1.7
5038,1955-10-18,9.7,-0.4,-2,3.0,987.8,10.6,0.5,0.8
5039,1955-10-19,12.1,5.4,2.6,3.1,971.0,12.9,1.2,1.6
5040,1955-10-20,10.7,6.2,4.4,0.0,984.8,12.5,1.0,1.4
5041,1955-10-21,10.2,2.4,2.4,0.0,1001.3,12.5,1.1,1.5
5042,1955-10-22,9.1,0.7,-0.8,0.0,1011.6,7.8,0.8,1.1
5043,1955-10-23,9.6,-0.9,-2.3,0.4,1014.7,8.0,0.4,0.6
5044,1955-10-24,12.8,3.7,2.6,0.0,1018.2,8.7,0.7,1
5045,1955-10-25,11.4,5.2,3.7,0.0,1015.9,11.6,0.5,0.7
5046,1955-10-26,12.2,2.6,8.8,3.6,1008.8,12.2,0.6,0.9
5047,1955-10-27,8.4,-0.9,-2.8,0.0,1008.8,9.4,0.6,0.9
5048,1955-10-28,8.4,1.4,-0.3,0.0,1011.2,8.9,0.9,1.1
5049,1955-10-29,9.6,-0.8,-2.7,0.2,1010.1,9.8,0.6,0.9
5050,1955-10-30,8.3,1.2,-1.1,0.0,1007.7,6.8,0.5,0.7
5051,1955-10-31,8.7,-0.8,-2.3,0.0,1007.2,4.3,0.5,0.7
5052,1955-11-01,11.7,2.4,-3.5,0.0,1001.0,8.0,1.0,1.2
5053,1955-11-02,13.7,6.9,1.1,7.2,986.8,20.2,1.4,1.9
5054,1955-11-03,13.4,8.3,2.9,11.9,980.3,11.7,0.5,0.7
5055,1955-11-04,13.4,6.9,1.1,0.0,979.8,10.0,0.8,1
5056,1955-11-05,12.7,10.5,7.9,7.7,986.6,15.6,0.7,1
5057,1955-11-06,12.4,10.2,6.3,2.5,991.9,11.6,0.7,0.9
5058,1955-11-07,14.8,10.1,10.2,6.8,990.8,11.1,1.0,1.1
5059,1955-11-08,13.2,9.1,4,0.3,987.2,8.2,0.6,0.7
5060,1955-11-09,12.2,9.0,7.4,4.1,983.1,6.1,0.4,0.6
5061,1955-11-10,10.7,5.2,0.8,3.7,985.0,9.5,0.4,0.6
5062,1955-11-11,10.4,6.8,2.4,1.3,987.5,14.6,0.9,1.1
5063,1955-11-12,11.6,4.6,2.6,0.0,1004.9,5.6,0.2,0.3
5064,1955-11-13,9.6,5.9,3.5,0.0,1014.9,8.5,0.7,0.8
5065,1955-11-14,8.3,5.8,6.3,0.0,1019.3,7.6,0.8,1
5066,1955-11-15,8.9,5.7,3,0.0,1024.6,5.6,0.7,0.9
5067,1955-11-16,9.4,6.7,4.5,0.0,1027.3,2.5,0.5,0.8
5068,1955-11-17,8.1,4.8,1.3,0.0,1026.4,2.8,0.5,0.7
5069,1955-11-18,6.4,5.1,4.4,0.0,1027.2,4.0,0.5,0.7
5070,1955-11-19,6.7,3.4,2.9,0.0,1029.8,5.3,0.3,0.5
5071,1955-11-20,11.2,5.1,4.2,0.0,1029.4,6.9,0.3,0.4
5072,1955-11-21,10.6,7.5,5.6,0.0,1027.9,5.5,0.4,0.6
5073,1955-11-22,9.6,4.4,5.1,0.0,1026.2,7.4,0.4,0.5
5074,1955-11-23,10.4,5.1,2.7,0.0,1023.3,10.0,0.6,0.7
5075,1955-11-24,11.3,5.4,3.9,0.0,1019.0,10.2,0.6,0.8
5076,1955-11-25,7.6,1.5,-1.3,0.0,1022.0,6.6,0.3,0.3
5077,1955-11-26,7.1,0.7,-1.2,0.0,1019.3,8.6,0.3,0.3
5078,1955-11-27,8.3,5.4,4,0.0,1015.4,5.7,0.6,0.7
5079,1955-11-28,10.4,7.8,6.3,0.2,1009.4,6.3,0.6,0.8
5080,1955-11-29,9.4,2.4,4.3,0.0,1008.1,4.2,0.3,0.4
5081,1955-11-30,8.7,1.2,-2.2,0.0,1003.1,4.6,0.3,0.4
5082,1955-12-01,9.4,3.2,5.1,0.6,1000.1,4.2,0.2,0.3
5083,1955-12-02,10.8,1.2,-1.2,0.4,1004.3,12.5,0.4,0.5
5084,1955-12-03,10.4,4.6,6.1,0.0,1010.3,14.4,0.3,0.4
5085,1955-12-04,9.9,2.4,0.4,0.0,1020.3,7.0,0.5,0.6
5086,1955-12-05,12.8,9.9,0.5,0.1,1016.2,13.6,0.7,0.8
5087,1955-12-06,13.5,11.1,10.3,0.0,1009.9,17.7,0.9,1
5088,1955-12-07,12.6,2.3,9.7,0.3,1010.3,14.2,0.4,0.5
5089,1955-12-08,10.1,1.2,-0.6,8.1,1010.6,6.2,0.3,0.4
5090,1955-12-09,11.7,6.8,3.3,5.2,995.8,15.2,0.5,0.6
5091,1955-12-10,7.9,3.6,3.6,1.1,988.7,15.0,0.6,0.6
5092,1955-12-11,5.4,3.9,2.6,17.9,996.7,13.9,0.5,0.7
5093,1955-12-12,6.1,4.7,4,0.1,996.2,21.1,1.2,1.7
5094,1955-12-13,11.6,4.9,3.8,6.1,986.2,15.5,0.7,0.9
5095,1955-12-14,10.7,6.3,6.6,13.5,971.0,12.1,0.3,0.4
5096,1955-12-15,9.9,5.1,-1.4,0.8,965.7,3.1,0.2,0.3
5097,1955-12-16,9.5,5.1,-1.3,2.0,973.1,5.2,0.2,0.2
5098,1955-12-17,7.2,3.5,2.6,21.4,988.0,7.1,0.4,0.5
5099,1955-12-18,4.4,1.4,0.3,3.0,1000.5,8.2,0.4,0.4
5100,1955-12-19,5.4,0.1,-5.7,0.7,997.5,9.2,0.6,0.7
5101,1955-12-20,4.6,2.9,-4.6,9.4,988.2,11.8,0.4,0.5
5102,1955-12-21,4.2,1.8,-0.3,0.0,995.0,9.0,0.7,0.9
5103,1955-12-22,12.0,4.2,-0.5,1.4,989.9,13.7,0.9,1
5104,1955-12-23,11.8,3.4,2.6,3.1,984.7,21.6,1.0,1.2
5105,1955-12-24,8.6,3.7,0.8,1.0,997.3,8.5,0.3,0.4
5106,1955-12-25,13.4,3.9,1.6,0.2,1000.6,15.0,0.7,0.8
5107,1955-12-26,12.8,6.1,6.8,2.2,995.1,18.2,0.9,1
5108,1955-12-27,12.8,5.8,4.1,3.8,998.8,20.2,0.8,1.1
5109,1955-12-28,13.3,6.2,8.9,4.7,992.9,25.4,0.8,1
5110,1955-12-29,6.8,2.8,2,0.5,991.6,12.8,0.5,0.6
5111,1955-12-30,5.6,0.2,-1.2,0.0,995.8,10.7,0.3,0.2
5112,1955-12-31,8.0,2.9,-0.4,0.8,1008.3,12.2,0.3,0.3
5113,1956-01-01,10.8,7.3,5.2,0.6,1003.0,24.2,1.0,1.3
5114,1956-01-02,7.4,3.8,1.5,0.0,1013.4,7.8,0.1,0.2
5115,1956-01-03,9.7,5.9,2.2,0.0,1019.8,8.8,0.4,0.5
5116,1956-01-04,9.7,4.1,-0.3,0.0,1020.7,6.0,0.3,0.4
5117,1956-01-05,8.3,2.4,5.9,0.0,1018.8,6.0,0.5,0.6
5118,1956-01-06,6.6,1.4,-2.8,0.0,1019.5,4.5,0.2,0.2
5119,1956-01-07,4.8,-0.4,-1.5,0.0,1014.4,9.3,0.3,0.3
5120,1956-01-08,1.3,-2.8,-3.4,0.0,1004.0,12.0,0.3,0.3
5121,1956-01-09,2.6,-4.9,-6.3,1.2,981.8,9.0,0.3,0.4
5122,1956-01-10,2.4,-1.2,-4.7,0.5,962.2,6.1,0.1,0.2
5123,1956-01-11,2.8,-2.1,-3.8,0.4,971.8,8.1,0.3,0.4
5124,1956-01-12,2.2,-1.7,-1.7,0.0,987.7,11.8,0.1,0.2
5125,1956-01-13,5.8,-2.2,-4.8,18.6,997.8,8.4,0.3,0.4
5126,1956-01-14,6.7,0.7,-3.3,16.4,991.7,11.6,0.3,0.4
5127,1956-01-15,6.3,-1.6,-3.3,0.0,999.0,12.0,0.3,0.4
5128,1956-01-16,7.6,1.3,-0.9,0.0,1004.2,10.8,0.2,0.2
5129,1956-01-17,8.2,3.7,2.3,0.0,998.5,13.2,0.4,0.5
5130,1956-01-18,6.6,0.2,-1.4,0.5,997.8,10.2,0.2,0.3
5131,1956-01-19,9.5,-0.5,-2.1,0.5,1000.0,15.9,0.6,0.8
5132,1956-01-20,10.4,2.0,4.8,3.2,991.2,20.6,0.8,1.2
5133,1956-01-21,9.9,0.6,-1.3,19.5,990.2,12.7,0.4,0.6
5134,1956-01-22,3.0,-1.1,-2.4,1.9,996.0,8.5,0.4,0.6
5135,1956-01-23,4.1,-0.7,-1.8,0.1,997.6,10.2,0.3,0.4
5136,1956-01-24,3.8,-1.6,-3,0.0,1005.5,9.6,0.3,0.4
5137,1956-01-25,5.9,-2.8,-5.8,5.0,1003.5,10.0,0.3,0.5
5138,1956-01-26,10.9,5.7,-2.4,11.7,995.8,12.4,0.2,0.3
5139,1956-01-27,10.9,7.5,5.4,4.0,1003.5,5.0,0.4,0.6
5140,1956-01-28,10.1,5.1,0.9,0.1,1003.8,7.2,0.3,0.4
5141,1956-01-29,11.1,5.6,3.5,3.7,1000.8,7.4,0.5,0.6
5142,1956-01-30,7.6,0.8,1.3,0.0,1001.3,9.6,0.4,0.6
5143,1956-01-31,3.6,-0.9,-1.2,0.5,1008.5,11.5,0.7,0.9
5144,1956-02-01,-0.9,-4.4,-4.3,6.1,1020.2,6.4,0.5,0.7
5145,1956-02-02,-1.5,-5.6,-7.7,0.0,1024.9,10.5,0.5,0.7
5146,1956-02-03,3.9,-2.6,-7.9,0.8,1024.6,10.9,0.7,0.9
5147,1956-02-04,9.5,2.7,-0.4,3.0,1023.7,14.6,0.5,0.8
5148,1956-02-05,9.1,5.7,4.3,0.0,1026.7,9.5,0.6,0.8
5149,1956-02-06,7.6,3.3,1.4,0.0,1028.1,8.2,0.6,0.8
5150,1956-02-07,11.0,2.2,-0.5,0.0,1027.7,6.5,0.6,0.8
5151,1956-02-08,10.6,4.4,3.6,0.4,1024.0,6.6,0.6,0.8
5152,1956-02-09,6.7,0.6,2.9,1.0,1023.5,12.0,0.6,0.9
5153,1956-02-10,1.5,-2.3,-3.8,0.0,1026.8,9.1,0.7,0.9
5154,1956-02-11,4.6,-3.8,-5.3,0.0,1022.0,11.6,0.4,0.6
5155,1956-02-12,4.5,2.9,2.3,0.0,1013.9,13.0,0.8,1.1
5156,1956-02-13,7.7,1.8,1.3,0.0,1004.8,13.0,0.9,1.3
5157,1956-02-14,2.2,-3.7,-2.2,0.0,1005.0,12.5,0.4,0.7
5158,1956-02-15,3.8,-5.4,-6.9,0.4,1006.8,7.9,0.5,0.8
5159,1956-02-16,5.8,0.2,-3.2,2.2,1004.7,9.1,0.6,0.8
5160,1956-02-17,3.3,-2.9,-3.8,1.4,1010.8,4.3,0.3,0.5
5161,1956-02-18,2.8,-1.6,-3.9,5.7,1016.2,5.5,0.5,0.8
5162,1956-02-19,3.4,-8.2,-9.9,1.5,1011.1,11.1,0.5,0.8
5163,1956-02-20,2.1,-0.5,-4.8,1.4,1008.8,14.2,0.7,1.1
5164,1956-02-21,2.4,-0.5,-0.8,3.1,1007.8,13.9,0.8,1.2
5165,1956-02-22,2.7,-0.6,-2.1,1.3,1012.3,13.8,0.9,1.4
5166,1956-02-23,1.3,-3.7,-1.1,0.2,1017.6,10.5,0.6,0.9
5167,1956-02-24,4.4,-2.9,-5.1,0.9,1018.2,10.4,0.7,1
5168,1956-02-25,3.4,-1.0,-2.7,0.0,1021.4,7.0,0.8,1.2
5169,1956-02-26,5.1,-3.4,-7.8,0.0,1020.2,4.5,0.7,1.1
5170,1956-02-27,6.7,-3.3,-8.8,0.0,1014.5,12.7,0.8,1.2
5171,1956-02-28,12.1,6.7,4.1,0.1,1010.8,17.5,1.1,1.6
5172,1956-02-29,12.3,5.1,7.6,1.2,1008.7,21.7,1.5,2.3
5173,1956-03-01,12.3,5.1,3.4,0.3,1006.3,24.6,1.0,1.6
5174,1956-03-02,12.4,8.1,9.7,2.1,1001.6,22.4,0.9,1.5
5175,1956-03-03,9.3,6.1,4.9,7.9,1001.1,8.7,0.8,1.1
5176,1956-03-04,8.6,2.3,0.6,1.5,1004.7,15.8,1.0,1.7
5177,1956-03-05,10.0,0.6,-0.8,0.0,1013.7,10.8,1.2,1.8
5178,1956-03-06,13.0,5.3,4,1.8,1009.6,14.3,1.5,2.2
5179,1956-03-07,10.6,2.8,2.3,0.1,1016.3,6.2,0.8,1.1
5180,1956-03-08,10.1,5.7,2.4,0.9,1017.3,8.2,0.8,1.2
5181,1956-03-09,8.0,4.9,4.4,0.0,1011.4,14.3,1.3,2
5182,1956-03-10,9.4,3.1,0.8,0.0,1008.6,15.3,1.9,2.9
5183,1956-03-11,9.8,3.5,0.1,0.0,1009.6,14.8,1.7,2.7
5184,1956-03-12,7.9,4.1,2.3,0.1,1008.9,16.4,0.8,1.4
5185,1956-03-13,8.7,1.6,2.4,0.0,1012.8,10.7,1.0,1.7
5186,1956-03-14,4.2,0.7,-6.2,0.0,1008.2,11.3,1.0,1.6
5187,1956-03-15,5.6,3.4,-2.7,0.0,1000.1,18.5,1.6,2.5
5188,1956-03-16,5.6,2.9,2.3,5.8,995.0,19.1,0.8,1.4
5189,1956-03-17,9.6,3.4,2.8,0.9,996.9,11.0,1.2,1.8
5190,1956-03-18,11.0,4.7,-1.2,0.0,998.0,12.1,1.5,2.2
5191,1956-03-19,8.8,5.2,2.8,0.0,993.2,11.6,1.0,1.6
5192,1956-03-20,7.9,4.3,3.3,3.9,983.4,15.8,0.7,1.3
5193,1956-03-21,7.8,6.1,4.5,6.4,978.5,15.2,0.7,1.3
5194,1956-03-22,8.8,6.2,4.6,8.1,975.4,17.6,0.9,1.5
5195,1956-03-23,10.2,6.7,4.7,3.9,981.8,15.0,1.3,2
5196,1956-03-24,12.4,7.4,6.3,0.4,979.6,18.2,1.8,2.8
5197,1956-03-25,10.0,7.5,6.7,1.1,984.3,20.2,1.1,1.9
5198,1956-03-26,10.6,6.7,6.2,0.4,998.2,14.7,1.2,2
5199,1956-03-27,12.6,5.0,-1.4,0.0,1012.1,6.8,1.6,2.4
5200,1956-03-28,9.4,5.5,3.9,0.0,1014.8,15.1,1.6,2.7
5201,1956-03-29,8.9,3.2,1.9,0.0,1011.3,11.4,1.4,2.1
5202,1956-03-30,12.7,1.2,-1,0.0,1016.5,6.6,2.0,2.9
5203,1956-03-31,9.3,1.6,-1.7,0.0,1020.1,8.5,1.6,2.4
5204,1956-04-01,11.7,1.8,-1.3,0.0,1019.0,4.2,1.8,2.6
5205,1956-04-02,15.7,0.7,-5.1,0.0,1015.8,8.2,2.3,3.3
5206,1956-04-03,12.1,4.1,3.3,0.9,1010.4,13.6,1.8,2.9
5207,1956-04-04,10.7,1.9,-1.9,0.4,1008.9,13.7,1.1,1.9
5208,1956-04-05,11.7,6.1,7.7,1.2,1006.0,15.5,1.9,2.8
5209,1956-04-06,10.9,3.9,2.4,0.5,1009.9,5.4,1.5,2.2
5210,1956-04-07,11.7,6.6,5.3,0.0,1009.5,10.5,1.7,2.3
5211,1956-04-08,13.4,7.4,5.1,0.0,1006.5,15.0,2.1,2.9
5212,1956-04-09,14.0,5.9,4.1,0.0,1005.2,12.8,2.4,3.4
5213,1956-04-10,15.9,7.0,6.3,14.1,1002.5,12.5,1.6,2.3
5214,1956-04-11,7.8,6.2,6.1,0.1,1003.5,8.4,0.8,1.3
5215,1956-04-12,9.3,6.6,6.2,0.0,998.3,7.4,1.0,1.5
5216,1956-04-13,7.4,5.1,4.7,10.1,993.5,14.9,0.9,1.6
5217,1956-04-14,6.9,2.3,2.2,0.0,997.5,12.5,1.7,2.8
5218,1956-04-15,10.0,0.3,-2.8,0.0,1001.7,10.5,2.0,3
5219,1956-04-16,10.3,-0.4,-2.1,0.0,1006.5,9.8,2.0,3.1
5220,1956-04-17,10.3,0.1,-2.8,0.0,1012.6,6.3,2.1,3.2
5221,1956-04-18,10.1,0.4,-6.8,0.0,1018.4,4.1,2.3,3.3
5222,1956-04-19,12.0,-0.1,-7.4,0.0,1020.5,4.6,2.6,3.7
5223,1956-04-20,13.4,2.4,-2.6,0.0,1015.0,8.5,2.8,4.1
5224,1956-04-21,12.9,3.8,-4.1,0.0,1007.0,7.1,2.5,3.6
5225,1956-04-22,12.4,3.2,-1.6,0.0,1001.9,5.5,2.1,3
5226,1956-04-23,13.4,3.6,1.4,0.1,1000.8,5.5,1.8,2.6
5227,1956-04-24,12.4,5.2,4.6,7.6,1002.4,4.4,1.7,2.4
5228,1956-04-25,10.3,3.4,-0.1,0.0,998.7,5.3,1.4,2
5229,1956-04-26,9.0,3.3,2.3,8.4,1000.4,13.0,1.4,2.4
5230,1956-04-27,9.4,2.6,0.2,1.1,1004.7,6.5,2.2,3.3
5231,1956-04-28,12.0,0.8,-4,0.6,1007.4,5.3,2.2,3.2
5232,1956-04-29,11.3,1.3,-0.8,1.9,1009.0,6.2,1.6,2.3
5233,1956-04-30,15.9,7.3,7.4,0.6,1005.9,8.5,1.8,2.7
5234,1956-05-01,15.0,6.6,4.7,0.0,1005.7,12.5,2.9,4.4
5235,1956-05-02,16.6,5.4,0.7,0.0,1007.5,9.3,2.8,4.1
5236,1956-05-03,16.1,6.3,5.7,1.1,1010.2,9.7,2.8,4.1
5237,1956-05-04,17.6,5.8,0.7,0.0,1013.3,10.8,2.8,4
5238,1956-05-05,18.3,9.5,10.2,0.0,1012.4,12.5,3.0,4.3
5239,1956-05-06,15.4,7.6,4.3,0.1,1011.2,14.6,2.2,3.4
5240,1956-05-07,15.8,9.8,9,0.9,1011.3,13.4,1.9,2.8
5241,1956-05-08,17.3,9.6,7.9,0.0,1012.7,11.8,3.3,5.1
5242,1956-05-09,15.1,9.1,10.2,6.0,1003.4,18.0,2.4,4.1
5243,1956-05-10,16.3,8.4,8.1,0.2,1004.2,15.6,3.1,5
5244,1956-05-11,14.2,8.6,11.2,2.8,1007.8,19.4,1.9,3.6
5245,1956-05-12,13.8,6.9,4.7,0.0,1016.2,12.4,2.4,3.7
5246,1956-05-13,16.8,5.2,2.4,0.0,1018.9,13.4,2.5,3.8
5247,1956-05-14,16.5,8.5,6.3,0.0,1019.1,9.4,3.6,5.2
5248,1956-05-15,18.4,5.7,2.1,0.7,1018.6,13.0,2.6,4.1
5249,1956-05-16,15.1,6.1,5.3,0.0,1016.7,11.2,2.8,4.3
5250,1956-05-17,13.5,4.7,4.9,0.0,1014.2,8.9,3.0,4.4
5251,1956-05-18,10.8,1.9,1,0.2,1011.7,8.0,2.4,3.5
5252,1956-05-19,12.3,0.6,-2,0.0,1011.3,6.8,2.7,4
5253,1956-05-20,17.2,3.5,-0.3,0.0,1005.9,10.6,3.4,5.1
5254,1956-05-21,14.4,7.7,5.7,0.0,999.8,11.0,2.7,4.1
5255,1956-05-22,17.2,7.9,3.2,0.0,1003.4,5.8,3.6,5
5256,1956-05-23,17.7,6.3,4.7,0.0,1008.2,9.7,3.4,4.9
5257,1956-05-24,14.0,5.9,7.9,3.1,1007.3,12.7,2.3,3.7
5258,1956-05-25,13.9,4.6,3.4,0.2,1014.1,8.7,3.0,4.6
5259,1956-05-26,15.8,3.2,1.3,0.0,1019.7,5.0,3.4,4.9
5260,1956-05-27,14.3,6.8,-0.1,0.0,1017.2,6.4,2.5,3.7
5261,1956-05-28,14.6,9.2,8.4,0.0,1009.9,6.7,2.1,3
5262,1956-05-29,15.4,6.9,0.8,0.8,1007.7,4.8,2.1,2.9
5263,1956-05-30,20.6,7.9,3.8,0.0,1009.2,6.8,3.6,5.1
5264,1956-05-31,16.1,10.5,9,0.0,1011.1,10.7,2.4,3.3
5265,1956-06-01,19.8,10.4,9.9,0.4,1011.7,14.0,3.6,5.4
5266,1956-06-02,16.0,8.7,11.2,0.2,1007.0,16.0,2.6,4.1
5267,1956-06-03,13.8,7.9,7.2,1.6,999.0,11.0,2.0,2.9
5268,1956-06-04,14.1,7.2,6.3,5.2,985.8,17.9,3.0,5.2
5269,1956-06-05,15.0,7.7,6.9,0.1,989.9,17.1,3.8,6.1
5270,1956-06-06,13.7,7.3,6.1,5.3,990.0,15.6,3.1,5.1
5271,1956-06-07,15.6,5.8,5.2,1.5,996.4,17.3,3.0,4.9
5272,1956-06-08,15.0,7.9,7.1,0.0,1012.1,14.5,4.0,6.3
5273,1956-06-09,14.6,3.9,0.4,0.0,1017.9,5.7,3.6,5.3
5274,1956-06-10,19.1,5.0,-1.1,0.0,1015.0,3.4,4.2,5.7
5275,1956-06-11,23.5,10.1,6.2,0.0,1008.6,8.1,5.0,6.8
5276,1956-06-12,15.7,7.2,8.6,0.2,1009.2,13.2,2.8,4.3
